,weblink_au_t,category,au_category
1,https://wikipedia.org/wiki/Deutsche_Gesellschaft_für_Internationale_Zusammenarbeit, Federal Enterprise,government
2,https://wikipedia.org/wiki/Global_Reporting_Initiative, Non-governmental organization,civil society
3,https://wikipedia.org/wiki/Hertie_School, Private,private university
4,https://wikipedia.org/wiki/International_Labour_Organization, United Nations specialized agency,un
5,https://wikipedia.org/wiki/Lee_Kuan_Yew_School_of_Public_Policy, Graduate school,private university
6,https://wikipedia.org/wiki/Mannheim_Business_School, Business School,public university
7,https://wikipedia.org/wiki/Massachusetts_Institute_of_Technology, Private land-grant research university,private university
8,https://wikipedia.org/wiki/U.S._Bureau_of_Labor_Statistics,NA,government
9,https://wikipedia.org/wiki/UN_Office_at_Geneva,NA,un
10,https://wikipedia.org/wiki/United_Nations_Children’s_Fund, Fund,un
11,https://wikipedia.org/wiki/United_Nations_Department_of_Economic_and_Social_Affairs, Department,un
12,https://wikipedia.org/wiki/United_Nations_Economic_and_Social_Commission_for_Asia_and_the_Pacific, Primary Organ – Regional Branch,un
13,https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa, Primary Organ - Regional Branch,un
14,https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe, Primary organ - regional branch,un
15,https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Latin_America__and_the_Caribbean, Primary Organ - Regional Branch,un
16,https://wikipedia.org/wiki/United_Nations_Industrial_Development_Organization, United Nations specialised agency,un
17,https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research, Research and training institute,un
18,https://wikipedia.org/wiki/United_Nations_System_Staff_College, Research and training institute,un
19,https://wikipedia.org/wiki/University_for_Peace, Graduate School,un
20,https://wikipedia.org/wiki/World_Bank_Group, Intergovernmental organization,un
21,https://wikipedia.org/wiki/World_Meteorological_Organization, United Nations specialized agency,un
